Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Parameters
Custom CNN,0.9389,0.9411,0.9389,0.9391,0.9927,26082052
ResNet18,0.9806,0.9806,0.9806,0.9806,0.9986,11178564
